PERGUNTAS,CLASSES
"['poder', 'evitar', 'algum', 'maneira', 'sobreajuste', 'árvore', 'decisão']",sobreajuste
"['como', 'evitar', 'overfitting', 'árvore', 'decisão']",sobreajuste
"['fazer', 'evitar', 'overfitting', 'árvore', 'decisão']",sobreajuste
"['como', 'poder', 'evitar', 'sobreajuste', 'árvore', 'decisão']",sobreajuste
"['poder', 'fazer', 'evitar', 'sobreajuste']",sobreajuste
"['ano', 'criar', 'floresta', 'aleatório']",historia
"['ano', 'criação', 'floresta', 'aleatório']",historia
"['floresta', 'aleatório', 'criar', 'ano']",historia
"['ano', 'floresta', 'aleatório', 'criar']",historia
"['ano', 'criar']",historia
"['floresta', 'aleatório', 'poder', 'utilizar', 'tanto', 'regressão', 'quanto', 'classificação']",metodos
"['poder', 'utilizar', 'tanto', 'regressão', 'quanto', 'classificação']",metodos
"['floresta', 'aleatório', 'poder', 'utilizar', 'tanto', 'regressão', 'quanto', 'classificação']",metodos
"['poder', 'utilizar', 'tanto', 'regressão', 'quanto', 'classificação']",metodos
"['poder', 'utilizar', 'tanto', 'regressão', 'quanto', 'classificação']",metodos
"['floresta', 'aleatório', 'tender', 'ter', 'desempenho', 'ruim', 'com', 'dado', 'desbalanceados']",desbalanceamento
"['tender', 'ter', 'desempenho', 'ruim', 'com', 'dado', 'desbalanceados']",desbalanceamento
"['com', 'dado', 'desbalanceados', 'tender', 'ter', 'desempenho', 'ruim']",desbalanceamento
"['com', 'dado', 'desbalanceados', 'floresta', 'aleatório', 'tender', 'ter', 'desempenho', 'ruim']",desbalanceamento
"['tender', 'ter', 'desempenho', 'ruim', 'com', 'dado', 'desbalanceados']",desbalanceamento
"['durante', 'processo', 'modelagem', 'etapa', 'dever', 'utilizar', 'floresta', 'aleatória']",aplicacao
"['iniciar', 'processo', 'modelagem', 'dever', 'usar']",aplicacao
"['poder', 'usar', 'durante', 'modelagem']",aplicacao
"['dever', 'usar', 'floresta', 'aleatória', 'durante', 'modelagem']",aplicacao
"['etapa', 'dever', 'usar']",aplicacao
"['floresta', 'aleatório', 'excelente', 'utilizar', 'primeiros', 'estágio', 'criação', 'processo', 'desenvolvimento', 'modelo']",aplicacao
"['excelente', 'utilizar', 'primeiros', 'estágio', 'criação', 'processo', 'desenvolvimento', 'modelo']",aplicacao
"['floresta', 'aletória', 'excelente', 'utilizar', 'primeiros', 'estágio', 'criação', 'processo', 'desenvolvimento', 'modelo']",aplicacao
"['excelente', 'utilizar', 'primeiros', 'estágio', 'criação', 'processo', 'desenvolvimento', 'modelo']",aplicacao
"['excelente', 'utilizar', 'primeiros', 'estágio', 'criação', 'processo', 'desenvolvimento', 'modelo']",aplicacao
"['floresta', 'aleatório', 'poder', 'usar', 'tarefa', 'classificação']",aplicacao
"['poder', 'usar', 'tarefa', 'classificação']",aplicacao
"['floresta', 'aleatório', 'poder', 'usar', 'tarefa', 'classificação']",aplicacao
"['poder', 'usar', 'tarefa', 'classificação']",aplicacao
"['poder', 'aplicar', 'tarefa', 'classificação']",aplicacao
"['floresta', 'aleatório']",conceito
"['descrever', 'floresta', 'aleatório']",conceito
[],conceito
['descrever'],conceito
[],conceito
"['floresta', 'aleatório', 'poder', 'usar', 'tarefa', 'regressão']",aplicacao
"['poder', 'usar', 'tarefa', 'regressão']",aplicacao
"['floresta', 'aleatório', 'poder', 'aplicar', 'tarefa', 'regressão']",aplicacao
"['poder', 'aplicar', 'tarefa', 'regressão']",aplicacao
"['floresta', 'aleatório', 'poder', 'aplicar', 'tarefa', 'regressão']",aplicacao
"['propenso', 'overfitting', 'especial', 'tarefa', 'com', 'muito', 'ruir']",sobreajuste
"['propenso', 'overfitting', 'especial', 'tarefa', 'com', 'muito', 'ruir']",sobreajuste
"['floresta', 'aleatório', 'propenso', 'overfitting', 'especial', 'tarefa', 'com', 'muito', 'ruir']",sobreajuste
"['floresta', 'aleatório', 'propenso', 'overfitting', 'especial', 'tarefa', 'com', 'muito', 'ruir']",sobreajuste
"['real', 'floresta', 'aleatório', 'propenso', 'overfitting', 'ainda', 'mais', 'tarefa', 'com', 'muito', 'ruir']",sobreajuste
[],
[],conceito
['definição'],definicao
['tratar'],definicao
['descrição'],definicao
"['ter', 'declaração']",definicao
"['como', 'funcionar']",definicao
"['como', 'funcionar']",definicao
['fazer'],definicao
"['forma', 'dar', 'funcionar']",definicao
"['como', 'execução']",definicao
['vantagem'],definicao
"['vantagem', 'trazer']",definicao
"['vantajoso', 'uso']",definicao
"['ponto', 'forte', 'usá', '-lo']",definicao
"['benefício', 'ele', 'apresentar']",definicao
['hiperparâmetros'],hiperparametro
"['ter', 'hiperparâmetros']",hiperparametro
['hiper-parametrização'],hiperparametro
"['principal', 'hiperparâmetros']",hiperparametro
"['respeito', 'hiperparâmetros', 'apresentar']",hiperparametro
"['analogia', 'com', 'vida', 'real']",aplicacao
"['aplicação', 'com', 'vida', 'real', 'dar']",aplicacao
"['exemplo', 'caso', 'real', 'com', 'funcionar']",aplicacao
"['citar', 'analogia', 'com', 'vida', 'real']",aplicacao
"['citar', 'exemplo', 'vida', 'real', 'ter', 'ver', 'com']",aplicacao
"['principal', 'hiperparâmetros', 'aumentar', 'poder', 'preditivo']",hiperparametroPreditivo
"['aumentar', 'poder', 'preditivo', 'utilizar', 'hiperparâmetros']",hiperparametroPreditivo
"['aumento', 'poder', 'preditivo', 'dar', 'hiperparâmetros']",hiperparametroPreditivo
"['citar', 'principal', 'hiperparâmetros', 'aumentar', 'poder', 'preditivo']",hiperparametroPreditivo
"['aumento', 'poder', 'preditivo', 'fazer', 'uso', 'hiperparâmetros']",hiperparametroPreditivo
"['n', 'estimators']",hiperparametroPreditivo
"['hiperparâmetro', 'n', 'estimators']",hiperparametroPreditivo
"['servir', 'n', 'estimators']",hiperparametroPreditivo
"['n', 'estimators', 'ter', 'uso']",hiperparametroPreditivo
"['objetivo', 'n', 'estimators']",hiperparametroPreditivo
"['max', 'features']",hiperparametroPreditivo
"['hiperparâmetro', 'max', 'features']",hiperparametroPreditivo
"['servir', 'max', 'features']",hiperparametroPreditivo
"['max', 'features', 'ter', 'uso']",hiperparametroPreditivo
"['objetivo', 'max', 'features']",hiperparametroPreditivo
"['min', 'sample', 'leaf']",hiperparametroPreditivo
"['hiperparâmetro', 'min', 'sample', 'leaf']",hiperparametroPreditivo
"['servir', 'min', 'sample', 'leaf']",hiperparametroPreditivo
"['min', 'sample', 'leaf', 'ter', 'uso']",hiperparametroPreditivo
"['objetivo', 'min', 'sample', 'leaf']",hiperparametroPreditivo
['vantagem'],definicao
"['vantagem', 'trazer']",definicao
"['revés', 'utilizar']",definicao
"['divergir', 'vantagem']",definicao
"['citar', 'vantagem']",definicao
['aplicar'],aplicacao
"['uso', 'real']",aplicacao
"['poder', 'utilizar', 'aplicar']",aplicacao
"['área', 'utilizar']",aplicacao
"['área', 'poder', '-se', 'utilizar']",aplicacao
"['diferença', 'árvore', 'decisão']",definicao
"['divergir', 'com', 'árvore', 'decisão']",definicao
"['relação', 'árvore', 'decisão', 'diferença']",definicao
"['árvore', 'decisão', 'ter', 'diferença', 'relação']",definicao
"['citar', 'diferença', 'com', 'árvore', 'decisão']",definicao
"['principal', 'hiperparâmetros', 'aumentar', 'velocidade', 'modelo']",hiperparametroVelocidade
"['aumentar', 'velocidade', 'modelo', 'utilizar', 'hiperparâmetros']",hiperparametroVelocidade
"['aumento', 'velocidade', 'modelo', 'dar', 'hiperparâmetros']",hiperparametroVelocidade
"['citar', 'principal', 'hiperparâmetros', 'aumentar', 'velocidade', 'modelo']",hiperparametroVelocidade
"['aumento', 'velocidade', 'modelo', 'fazer', 'uso', 'hiperparâmetros']",hiperparametroVelocidade
"['n', 'jobs']",hiperparametroVelocidade
"['hiperparâmetro', 'n', 'jobs']",hiperparametroVelocidade
"['servir', 'n', 'jobs']",hiperparametroVelocidade
"['n', 'jobs', 'ter', 'uso']",hiperparametroVelocidade
"['objetivo', 'n', 'jobs']",hiperparametroVelocidade
['state'],hiperparametroVelocidade
"['hiperparâmetro', 'state']",hiperparametroVelocidade
"['servir', 'state']",hiperparametroVelocidade
"['state', 'ter', 'uso']",hiperparametroVelocidade
"['objetivo', 'state']",hiperparametroVelocidade
"['oob', 'score']",hiperparametroVelocidade
"['hiperparâmetro', 'oob', 'score']",hiperparametroVelocidade
"['servir', 'oob', 'score']",hiperparametroVelocidade
"['oob', 'score', 'ter', 'uso']",hiperparametroVelocidade
"['objetivo', 'oob', 'score']",hiperparametroVelocidade
"['etapa', 'processo', 'modelo', 'recomendar', 'utilizar']",aplicacao
"['ter', 'como', 'recomendação', 'utilizar', 'etapa', 'processo']",aplicacao
"['melhor', 'etapa', 'processo', 'utilizar']",aplicacao
"['etapa', 'utilizar', 'processo', 'modelo']",aplicacao
"['etapa', 'dar', 'uso', 'processo', 'modelo']",aplicacao
"['utilizar', 'aleatoriedade', 'extra', 'quando', 'estar', 'criar', 'árvore']",definicao
"['aleatoriedade', 'extra', 'dar', 'razão']",definicao
"['utilizar', 'aleatoriedade', 'extra', 'durante', 'criação', 'quê']",definicao
"['durante', 'criação', 'árvore', 'utilizar', 'aleatoriedade', 'extra', 'razão']",definicao
"['citar', 'motivo', 'utilizar', 'aleatoriedade', 'extra', 'durante', 'criação', 'árvore']",definicao
"['objetivo', 'bagging']",definicao
"['bagging', 'ter', 'objetivo']",definicao
"['principal', 'objetivo', 'bagging']",definicao
"['citar', 'objetivo', 'bagging']",definicao
"['bagging', 'apresentar', 'objetivo']",definicao
"['fácil', 'utilizar']",definicao
"['fácil', 'usar']",definicao
"['uso', 'dar', 'maneira', 'fácil']",definicao
"['utilizar', 'fácil']",definicao
"['quão', 'fácil', 'fazer', 'uso']",definicao
[],
"['poderoso', 'árvore', 'decisão', 'comum']",conceito
"['motivo', 'floresta', 'aleatório', 'mais', 'potente', 'árvore', 'decisão', 'comum']",conceito
"['poderoso', 'decision', 'tree']",conceito
"['mais', 'recomendar', 'decision', 'tree']",conceito
"['mais', 'poderoso', 'ou', 'decision', 'tree']",conceito
['paradigma'],paradigma
"['quê', 'paradigma', 'utilizar', 'implementar', 'tree']",paradigma
"['paradigma', 'existente', 'aprendizagem', 'máquina', 'ele', 'aplicar', 'tree']",paradigma
"['paradigma', 'existente', 'aprendizagem', 'máquina', 'ele', 'aplicar', 'floresta', 'aleatório']",paradigma
"['paradigma', 'usar', 'floresta', 'aleatório']",paradigma
"['como', 'gerar', 'árvore', 'sua', 'floresta']",funcionamento
"['como', 'criar', 'árvore']",funcionamento
"['floresta', 'aleatório', 'como', 'criar', 'árvore']",funcionamento
"['como', 'processo', 'criação', 'árvore']",funcionamento
"['florestas', 'aleatório', 'como', 'processo', 'criação', 'árvore', 'floresta']",funcionamento
"['como', 'funcionar', 'paradigma', 'utilizar']",paradigma
"['como', 'funcionar', 'aprendizagem', 'supervisionar', 'utilizar']",paradigma
"['como', 'funcionar', 'aprendizagem', 'supervisionar']",paradigma
"['como', 'funcionar', 'paradigma', 'utilizar', 'floresta', 'aleatório']",paradigma
['paradigma'],paradigma
"['diferença', 'entre', 'decision', 'tree', 'e']",conceito
"['diferir', 'decision', 'tree']",conceito
"['diferença', 'entre', 'decision', 'tree', 'e']",conceito
"['diferença', 'entre', 'e', 'árvore', 'decisão', 'comum']",conceito
"['característica', 'tree', 'diferir', 'árvore', 'decisão', 'comum']",conceito
[],
[],conceito
['definição'],conceito
"['como', 'funcionar']",conceito
"['como', 'funcionar']",conceito
"['como', 'implementar']",conceito
"['parâmetro', 'poder', 'alterar', 'ter', 'boa', 'performance']",parametro
"['ter', 'boa', 'performance', 'parâmetro', 'dever', 'alterar']",parametro
"['melhorar', 'performance', 'parâmetro', 'dever', 'modificar']",parametro
"['parâmetro', 'dever', 'ajustar', 'ter', 'melhor', 'performance']",parametro
"['parâmetro', 'impactar', 'performance']",parametro
"['vantagem', 'com', 'relação', 'bagging']",conceito
"['melhor', 'utilizar', 'bagging']",conceito
"['diferença', 'entre', 'e', 'bagging']",conceito
"['ligação', 'entre', 'bagging', 'e']",conceito
"['distinguir', 'bagging']",conceito
"['quanto', 'fase', 'possuir']",funcionamento 
"['número', 'fase']",funcionamento 
"['quanto', 'sao', 'fase', 'floresta', 'aleatório']",funcionamento 
"['quanto', 'fase', 'separar']",funcionamento 
"['dividir', 'quanto', 'fase']",funcionamento 
"['como', 'fase']",funcionamento 
"['característica', 'fase']",funcionamento 
"['responsabilidade', 'cada', 'fase']",funcionamento 
"['incumbencia', 'cada', 'fase']",funcionamento 
"['escopo', 'cada', 'fase']",funcionamento 
['vantagem'],funcionamento 
"['benefício', 'apresentar']",funcionamento 
['usar'],funcionamento 
"['haver', 'bom']",funcionamento 
['pró'],funcionamento 
['vantagem'],funcionamento 
['contra'],funcionamento 
"['haver', 'ruim']",funcionamento 
"['dificultar', 'utilizar']",funcionamento 
"['haver', 'ruim']",funcionamento 
"['vantagem', 'poder', 'utilizar', 'tanto', 'tarefa', 'classificação', 'quanto', 'regressão']",conceito
"['benefício', 'poder', 'utilizar', 'tanto', 'tarefa', 'classificação', 'quantopara', 'tarefa', 'regressão']",conceito
"['beneficiar', 'poder', 'utilizar', 'tanto', 'tarefa', 'classificação', 'quanto', 'paratarefas', 'regressão']",conceito
"['poder', 'utilizar', 'tipo', 'tarefa']",conceito
"['além', 'poder', 'utilizar', 'tarefa', 'regressão', 'outro', 'tarefa', 'podeser', 'utilizar']",conceito
"['método', 'bagging']",funcionamento 
"['método', 'utilizar', 'construção', 'árvore', 'floresta']",funcionamento 
"['como', 'funcionar', 'método', 'criar', 'árvore', 'floresta']",funcionamento 
"['como', 'funcionar', 'método', 'bagging']",funcionamento 
"['como', 'método', 'bagging', 'dever', 'gerar', 'árvore', 'floresta']",funcionamento 
"['como', 'fazer', 'predição']",conceito
"['formar', 'efetuar', 'predição']",conceito
"['como', 'implementar', 'predição']",conceito
"['característica', 'predição']",conceito
"['método', 'aprendizado', 'máquina', 'utilizar', 'usar', 'tecnica', 'efetuar', 'predição']",conceito
"['base', 'utilizar', 'breiman', 'criação']",conceito
['origem'],conceito
"['como', 'implementar']",conceito
"['trabalho', 'utilizar', 'implementar']",conceito
['basear'],conceito
"['precisão', 'obter', 'utilizar']",funcionamento
"['como', 'convergência']",funcionamento
"['como', 'precisão', 'e', 'como', 'obter']",funcionamento
"['possuir', 'excelente', 'precisão', 'como', 'ele', 'conseguir', 'isso']",funcionamento
"['impacto', 'característica', 'árvore', 'generalizar', 'erro']",funcionamento
['característica'],conceito
"['principal', 'atributo']",conceito
"['característica', 'tornar', 'apropriar', 'classificação', 'grande', '\n', 'quantia', 'dado']",conceito
"['característica', 'melhor', 'definir']",conceito
"['principal', 'aptidão']",conceito
"['importante', 'saber', 'importância', 'variar']",conceito
"['variar', 'importante']",conceito
"['relevante', 'saber', 'importancia', 'variar', 'utilizar']",conceito
"['ganho', 'saber', 'importancia', 'variar', 'utilizar']",conceito
"['como', 'saber', 'variar', 'relevante', 'problema']",conceito
"['como', 'fazer', 'treinar']",funcionamento
"['como', 'ocorrer', 'treinar', 'árvore']",funcionamento
"['como', 'árvore', 'treinar']",funcionamento
"['como', 'treinar', 'árvore', 'dever', 'implementar']",funcionamento
"['como', 'funcionar', 'treinar', 'árvore', 'floresta']",funcionamento
[],
['aplicar'],
[],
[],
[],
[],
"['floresta', 'aleatório']",conceito
[],conceito
"['floresta', 'aleatório']",conceito
[],conceito
"['floresta', 'aleatório', 'i.']",conceito
"['data', 'criação']",historia
"['data', 'criação']",historia
"['data', 'criação', 'floresta', 'aleatório']",historia
"['data', 'criar']",historia
"['data', 'criar', 'floresta', 'aleatório']",historia
"['criar', 'floresta', 'aleatório']",historia
['criar'],historia
"['criador', 'floresta', 'aleatório']",historia
['criador'],historia
"['criar', 'floresta', 'aleatório']",historia
"['aplicar', 'floresta', 'aleatório', 'utilizar']",aplicacao
"['aplicar', 'utilizar']",aplicacao
"['aplicar', 'usar', 'floresta', 'aleatório']",aplicacao
"['aplicar', 'usar']",aplicacao
"['setor', 'usar', 'floresta', 'aleatório']",aplicacao
"['principal', 'vantagem', 'algoritimo', 'floresta', 'aleatório']",vantagem
"['principal', 'vantagem', 'algoritimo']",vantagem
"['vantagem', 'algoritimo', 'floresta', 'aleatório']",vantagem
"['vantagem', 'algoritimo']",vantagem
"['principal', 'vantagem', 'algoritimo', 'floresta', 'aleatório']",vantagem
"['principal', 'vantagem', 'algoritimo', 'floresta', 'aleatório']",desvantagem
"['principal', 'vantagem', 'algoritimo']",desvantagem
"['vantagem', 'algoritimo', 'floresta', 'aleatório']",desvantagem
"['vantagem', 'algoritimo']",desvantagem
"['vantagem', 'algoritimo', 'floresta', 'aleatório', 'ter']",desvantagem
"['floresta', 'aleatório', 'poder', 'aplicar', 'tarefa', 'regressão']",aplicacao
"['poder', 'aplicar', 'tarefa', 'regressão']",aplicacao
"['floresta', 'aleatório', 'poder', 'aplicar', 'tarefa', 'regressão']",aplicacao
"['poder', 'aplicar', 'tarefa', 'regressão']",aplicacao
"['floresta', 'aleatório', 'poder', 'aplicar', 'regressão']",aplicacao
"['floresta', 'aleatório', 'propenso', 'overfitting']",overfitting
"['floresta', 'aleatório', 'propenso', 'sobreajuste']",overfitting
"['propenso', 'overfitting']",overfitting
"['propenso', 'sobreajuste']",overfitting
"['floresta', 'aleatório', 'poder', 'usar', 'overfitting']",overfitting
"['como', 'construir', 'floresta', 'aleatório']",metodo
"['como', 'construir']",metodo
"['como', 'fazer', 'floresta', 'aleatório']",metodo
"['como', 'fazer']",metodo
"['como', 'fazer', 'floresta', 'aleatório']",metodo
['bagging'],conceitoBagging
"['significar', 'bagging']",conceitoBagging
['bagging'],conceitoBagging
"['poder', 'bagging']",conceitoBagging
['bagging'],conceitoBagging
['bootstrap'],conceitoBootstrap
"['significar', 'bootstrap']",conceitoBootstrap
"['poder', 'bootstrap']",conceitoBootstrap
['bootstrap'],conceitoBootstrap
['bootstrap'],conceitoBootstrap
"['importância', 'algoritimo']",aplicacao
"['importância', 'algoritimo', 'floresta', 'aleatório']",aplicacao
"['importância', 'floresta', 'aleatório']",aplicacao
['importância'],aplicacao
"['importância', 'algoritimo', 'floresta', 'aleatório']",aplicacao
"['vantagem', 'sobre', 'outro', 'modelo', 'aprendizado', 'máquina']",comparacao
"['vantagem', 'relação', 'outro', 'modelo', 'aprendizado', 'máquina']",comparacao
"['vantagem', 'quando', 'comparar', 'outro', 'modelo', 'aprendizado', 'máquina']",comparacao
"['vantagem', 'sobre', 'outro', 'modelo', 'ia']",comparacao
"['vantagem', 'sobre', 'outro', 'modelo', 'i.']",comparacao
['boosting'],conceitoBoosting
"['significar', 'boosting']",conceitoBoosting
"['poder', 'boosting']",conceitoBoosting
['boosting'],conceitoBoosting
['‘boosting’'],conceitoBoosting
"['floresta', 'aleatório', 'poder', 'utilizar', 'classificação']",aplicacao
"['poder', 'utilizar', 'classificação']",aplicacao
"['floresta', 'aleatório', 'poder', 'utilizar', 'classificação']",aplicacao
"['poder', 'utilizar', 'classificação']",aplicacao
"['poder', 'utilizar', 'classificação']",aplicacao
"['árvore', 'decisão']",conceitoArvoreDecisao
"['árvore', 'decisão']",conceitoArvoreDecisao
"['poder', 'árvore', 'decisão']",conceitoArvoreDecisao
"['decision', 'tree']",conceitoArvoreDecisao
"['decision', 'tree']",conceitoArvoreDecisao
"['floresta', 'aleatório', 'utilizar', 'árvore', 'decisão']",conceito
"['utilizar', 'árvore', 'decisão']",conceito
"['floresta', 'aleatório', 'utilizar', 'decision', 'tree']",conceito
"['utilizar', 'decision', 'tree']",conceito
"['floresta', 'aleatório', 'usar', 'árvore', 'decisão']",conceito
"['fazer', 'parte', 'i.']",conceito
"['fazer', 'parte', 'ia']",conceito
"['floresta', 'aleatório', 'considerar', 'i.']",conceito
"['considerar', 'i.']",conceito
"['considerar', 'ia']",conceito
['servir'],aplicacao
"['servir', 'floresta', 'aleatório']",aplicacao
['utilidade'],aplicacao
"['utilidade', 'floresta', 'aleatório']",aplicacao
['usar'],aplicacao
"['mostre', 'diferençar', 'com', 'árvore', 'decisão']",comparacao
"['diferença', 'sobre', 'árvore', 'decisão']",comparacao
"['diferença', 'com', 'árvore', 'decisão']",comparacao
"['diferença', 'cima', 'árvore', 'decisão']",comparacao
"['diferença', 'quando', 'comparar', 'com', 'árvore', 'decisão']",comparacao
"['floresta', 'aleatória']",conceito
"['como', 'funcionar', 'algoritimo']",funcionamento
['pergunta'],Classe
"['como', 'funcionar', 'floresta', 'aleatoria']",funcionamento
"['como', 'realizar', 'funcionar', 'floresta', 'aleatório']",funcionamento
"['príncipio', 'funcionar', 'floresta', 'aleatório']",funcionamento
"['como', 'operar', 'floresta', 'aleatório']",funcionamento
"['como', 'floresta', 'aleatório', 'operar']",funcionamento
"['vantagem', 'floresta', 'aleatório']",vantagem
"['usar', 'floresta', 'aleatório']",vantagem
"['benefício', 'usar', 'floresta', 'aleatório']",vantagem
"['praticabilidade', 'floresta', 'aleatório']",vantagem
"['serventia', 'usar', 'floresta', 'aleatório']",vantagem
"['diferença', 'entre', 'árvore', 'decisão', 'e', 'floresta', 'aleatório']",comparacao
"['diferir', 'árvore', 'decisão', 'e', 'floresta', 'aleatório']",comparacao
"['separar', 'árvore', 'decisão', 'floresta', 'aleatório']",comparacao
"['aspecto', 'diferenciar', 'floresta', 'aleatório', 'árvore', 'decisão']",comparacao
"['destoar', 'árvore', 'decisão', 'floresta', 'aleatório']",comparacao
"['como', 'floresta', 'aleatório', 'evitar', 'sobreajuste']",funcionamento
"['como', 'possível', 'evitar', 'sobreajuste', 'floresta', 'aleatório']",funcionamento
"['maneira', 'possível', 'evitar', 'sobreajuste', 'floresta', 'aleatório']",funcionamento
"['jeito', 'evitar', 'sobreajuste', 'floresta', 'aleatório']",funcionamento
"['como', 'sobreajuste', 'evitar', 'floresta', 'aleatório']",funcionamento
"['maior', 'limitar', 'floresta', 'aleatório']",desvantagem
"['maior', 'restrição', 'floresta', 'aleatório']",desvantagem
"['limitar', 'floresta', 'aleatório']",desvantagem
"['restringir', 'floresta', 'aleatório']",desvantagem
"['como', 'floresta', 'aleatório', 'poder', 'sofrer', 'limitar']",desvantagem
"['tipo', 'ferramenta', 'modelagem', 'floresta', 'aleatório']",conceito
"['florestas', 'aleatório', 'ferramenta', 'modelagem', 'tipo']",conceito
"['tipo', 'ferramenta', 'modelagem', 'aplicar', 'floresta', 'aleatório']",conceito
"['tipo', 'ferramenta', 'modelagem', 'definir', 'floresta', 'aleatório']",conceito
"['floresta', 'aleatório', 'encaixar', 'tipo', 'ferramenta', 'modelagem']",conceito
"['servir', 'hiperparâmetros', 'floresta', 'aleatório']",hiperparametros
"['propósito', 'hiperparâmetros', 'floresta', 'aleatório']",hiperparametros
"['hiperparâmetros', 'floresta', 'aleatório', 'servir']",hiperparametros
"['funcional', 'hiperparâmetros', 'floresta', 'aleatório']",hiperparametros
"['utilidade', 'hiperparâmetos', 'floresta', 'aleatório']",hiperparametros
"['hiperparâmetro', 'n', 'estimators']",nEstimators
"['utilidade', 'hiperparâmetro', 'n', 'estimators']",nEstimators
"['hiperparâmetro', 'n', 'estimators', 'servir']",nEstimators
"['funcional', 'hiperparâmetro', 'n', 'estimators', 'floresta', 'aleatório']",nEstimators
"['floresta', 'aleatório', 'funcional', 'hiperparâmetro', 'n', 'estimators']",nEstimators
"['vantagem', 'e', 'vantagem', 'valor', 'elevar', 'n', 'estimators']",nEstimators
"['benefício', 'e', 'malefício', 'valor', 'elevar', 'n', 'estimators']",nEstimators
"['valor', 'elevar', 'n', 'estimators', 'ter', 'vantagem', 'e', 'vantagem']",nEstimators
"['ganho', 'e', 'perda', 'ter', 'quando', 'valor', 'n', 'estimators', 'elevar']",nEstimators
"['valor', 'elevar', 'n', 'estimators', 'ter', 'perda', 'e', 'ganho']",nEstimators
"['hiperparâmetro', 'max', 'features']",maxFeatures
"['utilidade', 'hiperparâmetro', 'max', 'features']",maxFeatures
"['hiperparâmetro', 'max', 'features', 'servir']",maxFeatures
"['funcional', 'hiperparâmetro', 'max', 'features', 'floresta', 'aleatório']",maxFeatures
"['floresta', 'aleatório', 'funcional', 'hiperparâmetro', 'max', 'features']",maxFeatures
"['hiperparâmetro', 'min', 'sample', 'leaf']",minSampleLeaf
"['utilidade', 'hiperparâmetro', 'min', 'sample', 'leaf']",minSampleLeaf
"['hiperparâmetro', 'min', 'sample', 'leaf', 'servir']",minSampleLeaf
"['funcional', 'hiperparâmetro', 'min', 'sample', 'leaf', 'floresta', 'aleatório']",minSampleLeaf
"['floresta', 'aleatório', 'funcional', 'hiperparâmetro', 'min', 'sample', 'leaf']",minSampleLeaf
"['área', 'aplicação', 'floresta', 'aleatório']",aplicacao
"['onde', 'poder', 'aplicar', 'floresta', 'aleatório']",aplicacao
"['floresta', 'aleatório', 'poder', 'aplicar', 'aréas']",aplicacao
"['área', 'aplicação', 'poder', 'utilizar', 'floresta', 'aleatório']",aplicacao
"['setor', 'poder', '-se', 'aplicar', 'floresta', 'aleatório']",aplicacao
"['como', 'floresta', 'aleatório', 'utilizar', 'setor', 'bancário']",aplicacao
"['setor', 'bancário', 'como', 'utilizar', 'floresta', 'aleatório']",aplicacao
"['maneira', 'utilizar', 'floresta', 'aleatório', 'setor', 'bancário']",aplicacao
"['floresta', 'aleatório', 'utilizar', 'maneira', 'setor', 'bancário']",aplicacao
"['forma', 'aplicar', 'floresta', 'aleatório', 'setor', 'bancário']",aplicacao
"['como', 'floresta', 'aleatório', 'utilizar', 'setor', 'financeiro']",aplicacao
"['setor', 'financeiro', 'como', 'utilizar', 'floresta', 'aleatório']",aplicacao
"['maneira', 'utilizar', 'floresta', 'aleatório', 'setor', 'financeiro']",aplicacao
"['floresta', 'aleatório', 'utilizar', 'maneira', 'setor', 'financeiro']",aplicacao
"['forma', 'aplicar', 'floresta', 'aleatório', 'setor', 'financeiro']",aplicacao
"['como', 'floresta', 'aleatório', 'utilizar', 'área', 'saúde']",aplicacao
"['área', 'saúde', 'como', 'utilizar', 'floresta', 'aleatório']",aplicacao
"['maneira', 'utilizar', 'floresta', 'aleatório', 'área', 'saúde']",aplicacao
"['floresta', 'aleatório', 'utilizar', 'maneira', 'área', 'saúde']",aplicacao
"['forma', 'aplicar', 'floresta', 'aleatório', 'área', 'saúde']",aplicacao
"['quando', 'propor', 'primeiro', 'método', 'floresta', 'decisão', 'aleatório']",historia
"['ano', 'propor', 'primeiro', 'método', 'floresta', 'aleatório']",historia
"['primeiro', 'método', 'floresta', 'aleatório', 'propor', 'quando']",historia
"['primeiro', 'método', 'floresta', 'aleatório', 'propor', 'ano']",historia
"['proposição', 'primeiro', 'método', 'floresta', 'decisão', 'aleatório', 'propor', 'ano']",historia
"['como', 'floresta', 'aleatório', 'utilizar', 'comércio', 'eletrônico']",aplicacao
"['comércio', 'eletrônico', 'como', 'utilizar', 'floresta', 'aleatório']",aplicacao
"['maneira', 'utilizar', 'floresta', 'aleatório', 'comércio', 'eletrônico']",aplicacao
"['floresta', 'aleatório', 'utilizar', 'maneira', 'comércio', 'eletrônico']",aplicacao
"['forma', 'aplicar', 'floresta', 'aleatório', 'comércio', 'eletrônico']",aplicacao
"['principal', 'hiperparametros', 'floresta', 'aleatório']",hiperparametros
"['floresta', 'aleatório', 'possuir', 'hiperparâmetros', 'principal']",hiperparametros
"['3', 'hiperparâmetros', 'maior', 'importância', 'floresta', 'aleatório']",hiperparametros
"['florestas', 'aleatório', 'possuir', '3', 'hiperparâmetros', 'principal', 'ele']",hiperparametros
"['3', 'hiperparâmetros', 'principal', 'floresta', 'aleatório']",hiperparametros
"['florestas', 'aleatório', 'tipo']",conceito
"['tipo', 'aplicar', 'floresta', 'aleatório']",conceito
